company,model_name,colour,operating_system,Processor,processor_company,ram/storage,delivery,price_in_Euro
APPLE,"MacBook Pro 14"" (2021) ",silver,macOS 12.0 Monterey,Apple M1 Pro chip,Apple,16/256,no,2249
ASUS,"VivoBook K553 15.6"" Laptop ",black,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,16/256,no,839
ACER,"Aspire 5 A515-56G 15.6"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i7-1165G7 Processor,Intel,8/256,no,999
APPLE,"MacBook Pro 14"" (2021) ",space grey,macOS 12.0 Monterey,Apple M1 Pro chip,Apple,16/256,yes,2249
DELL,"Inspiron 15 5518 15.6"" Laptop ",silver,Windows 11,Intel Core i5-11320H Processor,Intel,8/256,no,719
ASUS,"Flip C214MA 11.6"" 2 in 1 Chromebook ",grey,Chrome OS,Intel Celeron N4020 Processor,Intel,4/256,no,239
HP,"Pavilion x360 14-dy0502sa 14"" 2 in 1 Laptop ",silver,Free Upgrade to Windows 11,Intel Pentium Gold 7505 Processor,Intel,4/128,no,499
LENOVO,"IdeaPad Flex 5i 13.3"" 2 in 1 Chromebook ",grey,Chrome OS,Intel Core i3-1115G4 Processor,Intel,4/128,no,519
HP,"11a-na0502sa 11.6"" Chromebook ",white,Chrome OS,MediaTek MT8183 Processor,MediaTek,4/256,no,169
LENOVO,"IdeaPad Slim 1i 11.6"" Laptop ",grey,Free Upgrade to Windows 11,Intel Celeron N4020 Processor,Intel,4/64,no,229
LENOVO,"IdeaPad 3i 15.6"" Laptop ",blue,Free Upgrade to Windows 11,Intel Celeron N4020 Processor,Intel,4/128,no,339
ASUS,"VivoBook K553 15.6"" Laptop ",gold,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,16/256,no,839
ACER,"Swift 5 SF514-55T 14"" Laptop ",slate green,Free Upgrade to Windows 11,Intel Evo platform,Intel,8/256,no,1019
LENOVO,"IdeaPad 5 Pro 16"" Laptop ",grey,Free Upgrade to Windows 11,AMD Ryzen 7 5800H Processor,AMD,16/256,no,1129
APPLE,"MacBook Pro 16"" (2021) ",silver,macOS 12.0 Monterey,Apple M1 Pro chip,Apple,16/1000,no,2979
ACER,"Swift 3 14"" Laptop ",silver,Free Upgrade to Windows 11,AMD Ryzen 7 5700U Processor,AMD,8/1000,no,959
APPLE,"MacBook Pro 16"" (2021) ",space grey,macOS 12.0 Monterey,Apple M1 Pro chip,Apple,16/256,yes,2749
APPLE,"MacBook Pro 16"" (2021) ",space grey,macOS 12.0 Monterey,Apple M1 Max chip,Apple,32/1000,no,3849
MICROSOFT,"13"" Surface Pro 8 & Signature Typecover Bundle ",graphite,Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,yes,1389
APPLE,"MacBook Pro 16"" (2021) ",silver,macOS 12.0 Monterey,Apple M1 Max chip,Apple,32/1000,no,3849
HP,"Pavilion 14-dv0603na 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Pentium Gold 7505 Processor,Intel,4/128,no,409
HP,"14s-dq2512na 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,no,699
HP,"14s-dq2507na 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i3-1115G4 Processor,Intel,4/128,no,449
HP,"Pavilion 14-dv0602sa 14"" Laptop ",white & rose gold,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,no,839
ASUS,"ZenBook UX425EA 14"" Laptop ",grey,Free Upgrade to Windows 11,Intel Core i3-1115G4 Processor,Intel,8/256,no,859
HP,"14s-dq2510na 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i3-1115G4 Processor,Intel,4/256,no,579
LENOVO,"IdeaPad 1i 14"" Laptop ",grey,Windows 10 S,Intel Celeron N4020 Processor,Intel,4/64,no,249
LENOVO,"Yoga Slim 7i Pro 14"" Laptop ",grey,Free Upgrade to Windows 11,Intel Evo platform,Intel,8/256,no,879
HP,"ENVY 13-ba1561sa 13.3"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,no,899
LENOVO,"IdeaPad Flex 5i 13.3"" 2 in 1 Chromebook ",blue,Chrome OS,Intel Core i5-1135G7 Processor,Intel,8/256,no,599
ACER,"Aspire Vero AV15-51 15.6"" Laptop ",grey,Windows 11,Intel Core i7-1195G7 Processor,Intel,16/1000,no,1019
ACER,"Aspire 3 A314-22 14"" Laptop ",silver,Free Upgrade to Windows 11,AMD Ryzen 3 3250U Processor,AMD,8/128,no,479
LENOVO,"Yoga 7i 15.6"" 2 in 1 Laptop ",slate grey,Free Upgrade to Windows 11,Intel Evo platform,Intel,8/256,no,1069
LENOVO,"Yoga 6 13.3"" 2 in 1 Laptop ",abyss blue,Free Upgrade to Windows 11,AMD Ryzen 7 5700U Processor,AMD,8/256,no,999
SAMSUNG,"Galaxy Book Pro 13.3"" Laptop ",mystic silver,Free Upgrade to Windows 11,Intel Evo platform,Intel,8/256,no,1319
MICROSOFT,"13"" Surface Pro 8 & Signature Typecover Bundle ",graphite,Windows 11,Intel Core i7-1185G7 Processor,Intel,16/256,yes,1869
MICROSOFT,"12.5"" Surface Laptop Go ",ice blue,Free Upgrade to Windows 11,Intel Core i5-1035G1 Processor,Intel,8/128,no,839
MICROSOFT,"12.5"" Surface Laptop Go ",platinum,Free Upgrade to Windows 11,Intel Core i5-1035G1 Processor,Intel,8/128,no,669
LENOVO,"IdeaPad 1i 14"" Laptop ",blue,Free Upgrade to Windows 11,Intel Celeron N4020 Processor,Intel,4/64,no,249
ACER,"Spin 1 14"" 2 in 1 Laptop ",silver,Free Upgrade to Windows 11,Intel Pentium Silver N6000 processor,Intel,8/256,no,519
ACER,"Aspire 3 15.6"" Laptop ",silver,Free Upgrade to Windows 11,Intel Pentium Silver N6000 processor,Intel,4/128,no,349
HUAWEI,"MateBook D 15.6"" Laptop ",grey,Free Upgrade to Windows 11,Intel Core i5-10210U Processor,Intel,8/256,no,779
HP,"Pavilion 14-dv0521sa 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,no,839
ASUS,"ZenBook Pro Duo UX582 15.6"" Laptop ",blue,Free Upgrade to Windows 11,Intel Core i9-10980HK Processor,Intel,32/1000,no,3599
HP,"Pavilion 14-dv0607na 14"" Laptop ",white & rose gold,Free Upgrade to Windows 11,Intel Pentium Gold 7505 Processor,Intel,4/128,no,429
HP,"ENVY 14-eb0505na 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i5-11300H Processor,Intel,16/256,no,1139
HUAWEI,"MateBook D 15.6"" Laptop ",grey,Free Upgrade to Windows 11,Intel Core i3-10110U Processor,Intel,8/256,no,639
MICROSOFT,"13"" Surface Pro 8 & Signature Typecover Bundle ",platinum,Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,yes,1389
HP,"15s-eq2510sa 15.6"" Laptop ",silver,Free Upgrade to Windows 11,AMD Ryzen 7 5700U Processor,AMD,8/256,no,749
MICROSOFT,"10.5"" Surface Go 2 ",platinum,Free Upgrade to Windows 11,Intel Pentium Gold 4425Y Processor,Intel,4/64,no,479
HP,"250 G8 15.6"" Laptop ",silver,Windows 10 Pro,Intel Core i5-1035G1 Processor,Intel,8/256,no,739
ACER,"Aspire 5 A515-56G 15.6"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,no,839
HP,"x360 14c-cc0500sa 14"" 2 in 1 Chromebook ",silver,Chrome OS,Intel Core i3-1115G4 Processor,Intel,8/128,no,719
HP,"15s-eq1542sa 15.6"" Laptop ",silver,Free Upgrade to Windows 11,AMD 3020e Processor,AMD,4/128,no,379
ACER,"Aspire 1 14"" Laptop ",blue,Free Upgrade to Windows 11,Intel Celeron N4500 Processor,Intel,4/64,no,289
ACER,"Aspire Vero AV15-51 15.6"" Laptop ",grey,Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,no,779
HP,"Spectre x360 13.3"" 2 in 1 Laptop ",black,Free Upgrade to Windows 11,Intel Evo platform,Intel,16/256,no,1599
ASUS,"VivoBook X515JA 15.6"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i5-1035G1 Processor,Intel,8/256,no,719
ACER,"Swift 3 16.1"" Laptop ",grey,Free Upgrade to Windows 11,Intel Core i5-11300H Processor,Intel,8/1000,no,839
HP,"Pavilion Aero 13-be0506sa 13.3"" Laptop ",silver,Free Upgrade to Windows 11,AMD Ryzen 7 5800U Processor,AMD,8/256,no,1029
LENOVO,"IdeaPad 3i 14"" Laptop ",blue,Free Upgrade to Windows 11,Intel Core i3-1115G4 Processor,Intel,4/256,no,519
HP,"14s-fq0000na 14"" Laptop ",silver,Free Upgrade to Windows 11,AMD Ryzen 5 4500U Processor,AMD,8/256,no,599
LENOVO,"Yoga 7 14"" Laptop ",slate grey,Free Upgrade to Windows 11,AMD Ryzen 5 5600U Processor,AMD,8/256,no,929
LENOVO,"Yoga 7 14"" 2 in 1 Laptop ",grey,Free Upgrade to Windows 11,AMD Ryzen 7 5800U Processor,AMD,8/256,no,1249
HP,"Pavilion 15-eh0522sa 15.6"" Laptop ",blue,Free Upgrade to Windows 11,AMD Ryzen 3 4300U Processor,AMD,8/256,no,619
LENOVO,"IdeaPad 3 14"" Chromebook ",grey,Chrome OS,MediaTek MT8183 Processor,MediaTek,4/64,no,299
HP,"x360 14b-cb0502sa 14"" 2 in 1 Chromebook ",silver,Chrome OS,Intel Pentium Silver N6000 processor,Intel,8/128,no,539
LENOVO,"IdeaPad Flex 5i 13.3"" 2 in 1 Chromebook ",blue,Chrome OS,Intel Core i3-1115G4 Processor,Intel,4/128,no,519
ACER,"Aspire 5 A514-54 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i3-1115G4 Processor,Intel,4/128,no,479.99
HP,"14"" Chromebook ",grey,Chrome OS,AMD A4-9120 Processor,AMD,4/256,no,299
ACER,"Swift 3 14"" Laptop ",silver,Free Upgrade to Windows 11,AMD Ryzen 5 5500U Processor,AMD,8/1000,yes,779
HP,"ENVY x360 15.6"" 2 in 1 Laptop ",silver,Free Upgrade to Windows 11,Intel Core i7-1165G7 Processor,Intel,16/256,no,1499.99
HP,"x360 14b-cb0500sa 14"" 2 in 1 Chromebook ",silver,Chrome OS,Intel Pentium Silver N6000 processor,Intel,4/64,no,479
HP,"14b-na0502na 14"" Chromebook ",silver,Chrome OS,AMD Ryzen 5 3500C Processor,AMD,8/128,no,699
MICROSOFT,"13"" Surface Pro 8 & Signature Typecover Bundle ",graphite,Windows 11,Intel Core i7-1185G7 Processor,Intel,16/256,yes,2209
HP,"Pavilion 14-dv0609sa 14"" Laptop ",gold,Free Upgrade to Windows 11,Intel Pentium Gold 7505 Processor,Intel,4/128,no,499
MICROSOFT,"13"" Surface Pro 8 ",platinum,Windows 11,Intel Core i7-1185G7 Processor,Intel,16/256,no,2149
MICROSOFT,"13"" Surface Pro 8 & Signature Typecover Bundle ",platinum,Windows 11,Intel Core i5-1135G7 Processor,Intel,8/128,yes,1259
MICROSOFT,"13.5"" Surface Laptop 3 ",black,Free Upgrade to Windows 11,Intel Core i5-1035G7 Processor,Intel,8/256,no,1399
HP,"14b-na0501na 14"" Chromebook ",silver,Chrome OS,AMD Ryzen 3 3250C Processor,AMD,8/128,no,599
ASUS,"ZenBook 13 Flip UX363JA 13.3"" 2 in 1 Laptop ",grey,Free Upgrade to Windows 11,Intel Core i5-1035G4 Processor,Intel,8/256,no,959
MICROSOFT,"13.5"" Surface Laptop 3 ",platinum,Free Upgrade to Windows 11,Intel Core i5-1035G7 Processor,Intel,8/128,no,1099
MICROSOFT,"12.5"" Surface Laptop Go ",ice blue,Free Upgrade to Windows 11,Intel Core i5-1035G1 Processor,Intel,8/256,no,839
HP,"15s-eq1521sa 15.6"" Laptop ",black,Free Upgrade to Windows 11,AMD A3020e Processor,AMD,4/128,no,349
HP,"Pavilion 14-dv0595sa 14"" Laptop ",gold,Free Upgrade to Windows 11,Intel Core i3-1115G4 Processor,Intel,8/256,no,679
MICROSOFT,"15"" Surface Laptop 3 ",black,Free Upgrade to Windows 11,AMD Ryzen 5 3580U Processor,AMD,8/256,no,1769
MICROSOFT,"13"" Surface Pro 8 & Signature Typecover Bundle ",platinum,Windows 11,Intel Core i5-1135G7 Processor,Intel,16/256,yes,1869
DELL,"Inspiron 14 5406 14"" 2 in 1 Laptop ",grey,Free Upgrade to Windows 11,Intel Core i3-1115G4 Processor,Intel,4/256,no,699.99
ASUS,"VivoBook S413JA 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i3-1005G1 Processor,Intel,8/256,no,539
HP,"Spectre x360 15.6"" 2 in 1 Laptop ",black,Free Upgrade to Windows 11,Intel Core i7-10750H Processor,Intel,16/256,no,2039
HP,"ENVY x360 15-ed1504na 15.6"" 2 in 1 Laptop ",silver,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,no,1199.99
ASUS,"VivoBook X712EA 17.3"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i7-1165G7 Processor,Intel,16/1000,no,1099
MICROSOFT,"13.5"" Surface Laptop 3 ",platinum,Free Upgrade to Windows 11,Intel Core i5-1035G7 Processor,Intel,8/256,no,1399
ASUS,"VivoBook Classic 14"" Laptop ",blue,Free Upgrade to Windows 11,Intel Core i7-11370H Processor,Intel,16/256,no,1199
SAMSUNG,"Galaxy Book Pro 360 15.6"" 2 in 1 Laptop ",mystic silver,Free Upgrade to Windows 11,Intel Evo platform,Intel,8/256,no,1599
ACER,"Aspire 5 A514-53 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i5-1035G1 Processor,Intel,8/256,no,679
HP,"Spectre x360 15-eb0501na 15.6"" 2 in 1 Laptop ",black,Free Upgrade to Windows 11,Intel Core i7-10750H Processor,Intel,16/1000,no,2339.99
APPLE,"MacBook Pro 13.3"" (2020) ",space grey,MacOS,Intel Core i5 Processor,Intel,8/256,no,1589
APPLE,"MacBook Pro 13.3"" (2020) ",silver,MacOS,Intel Core i5 Processor,Intel,8/256,no,1499
SAMSUNG,"Galaxy Book Ion 15.6"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i5-10210U Processor,Intel,8/256,no,1559.99
HP,"ENVY x360 Convert 15-es0504na 15.6"" 2 in 1 Laptop ",silver,Free Upgrade to Windows 11,Intel Core i7-1165G7 Processor,Intel,16/256,no,1319
DELL,"Inspiron 14 5415 14"" Laptop ",silver,Free Upgrade to Windows 11,AMD Ryzen 7 5700U Processor,AMD,8/256,no,859
ACER,"Aspire 3 14"" Laptop ",silver,Windows 10 S,AMD Athlon Silver 3050U Processor,AMD,4/128,no,399
ASUS,"VivoBook X513EA 15.6"" Laptop ",black,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,no,649
DELL,"Inspiron 15 5502 15.6"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,no,779
DELL,"Inspiron 15 3505 15.6"" Laptop ",black,Free Upgrade to Windows 11,AMD Ryzen 7 3700U Processor,AMD,8/256,no,719
DELL,"Inspiron 15 3511 15.6"" Laptop ",black,Windows 11,Intel Core i5-1035G1 Processor,Intel,8/256,no,579
HP,"15-gw0502sa 15.6"" Laptop ",black,Free Upgrade to Windows 11,AMD Athlon Silver 3050U Processor,AMD,4/1000,no,359
MICROSOFT,"15"" Surface Laptop 3 ",black,Free Upgrade to Windows 11,AMD Ryzen 5 3580U Processor,AMD,16/256,no,2039
MICROSOFT,"15"" Surface Laptop 3 ",platinum,Windows 10,AMD Ryzen 5 3580U Processor,AMD,16/256,no,1849
MICROSOFT,"15"" Surface Laptop 3 ",black,Free Upgrade to Windows 11,AMD Ryzen 7 3780U Processor,AMD,16/256,no,2449
MICROSOFT,"13.5"" Surface Laptop 3 ",sandstone,Free Upgrade to Windows 11,Intel Core i5-1035G7 Processor,Intel,8/256,no,1029
APPLE,"MacBook Pro 13.3"" (2020) ",silver,MacOS,Intel Core i5 Processor,Intel,8/256,no,1589
ASUS,"Zenbook S Flip UX371EA 13.3"" 2 in 1 Laptop ",black,Free Upgrade to Windows 11,Intel Evo platform,Intel,16/1000,no,2299
LENOVO,"Yoga 9i 14"" 2 in 1 Laptop ",black,Windows 10,Intel Core i7-1185G7 Processor,Intel,16/1000,no,2159.99
DELL,"Latitude 3420 14"" Laptop ",grey,Free Upgrade to Windows 11,Intel Core i5-1135G7 Processor,Intel,8/256,no,1029
HP,"15s-eq2526sa 15.6"" Laptop ",black,Windows 11,AMD Ryzen 5 5500U Processor,AMD,4/256,no,669
MICROSOFT,"13.5"" Surface Laptop 3 ",platinum,Free Upgrade to Windows 11,Intel Core i7-1065G7 Processor,Intel,16/256,no,1859
MICROSOFT,"13.5"" Surface Laptop 3 ",sandstone,Windows 10,Intel Core i7-1035G7 Processor,Intel,16/256,no,1859
DELL,"XPS 15 9500 15.6"" Intel® Core™ i7 Laptop ",silver,Free Upgrade to Windows 11,Intel Core i7-10750H Processor,Intel,16/1000,no,2079
LENOVO,"IdeaPad 3 14"" Laptop ",grey,Windows 10 S,AMD Ryzen 3 4300U Processor,AMD,4/128,no,499
HP,"11a 11.6"" Chromebook ",grey,Chrome OS,MediaTek MT8183 Processor,MediaTek,4/256,no,239
ASUS,"VivoBook X712EA 17.3"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i3-1115G4 Processor,Intel,8/256,no,749
ASUS,"VivoBook X415JA 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i7-1065G7 Processor,Intel,8/256,no,849
